DATAFLOW,LAST UPDATE,freq,unit,n_portion,sex,age,citizen,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:HLTH_EHIS_FV3C(1.0),08/11/22 23:00:00,A,PC,0,T,TOTAL,NAT,AT,2014,32.2,
ESTAT:HLTH_EHIS_FV3C(1.0),08/11/22 23:00:00,A,PC,0,T,TOTAL,NAT,AT,2019,36.5,
ESTAT:HLTH_EHIS_FV3C(1.0),08/11/22 23:00:00,A,PC,0,T,TOTAL,NAT,BE,2014,15.2,
ESTAT:HLTH_EHIS_FV3C(1.0),08/11/22 23:00:00,A,PC,0,T,TOTAL,NAT,BE,2019,16.6,
ESTAT:HLTH_EHIS_FV3C(1.0),08/11/22 23:00:00,A,PC,0,T,TOTAL,NAT,BG,2014,58.7,
ESTAT:HLTH_EHIS_FV3C(1.0),08/11/22 23:00:00,A,PC,0,T,TOTAL,NAT,BG,2019,47.1,
ESTAT:HLTH_EHIS_FV3C(1.0),08/11/22 23:00:00,A,PC,0,T,TOTAL,NAT,CY,2014,32.6,
ESTAT:HLTH_EHIS_FV3C(1.0),08/11/22 23:00:00,A,PC,0,T,TOTAL,NAT,CY,2019,32.3,
ESTAT:HLTH_EHIS_FV3C(1.0),08/11/22 23:00:00,A,PC,0,T,TOTAL,NAT,CZ,2014,46.3,
ESTAT:HLTH_EHIS_FV3C(1.0),08/11/22 23:00:00,A,PC,0,T,TOTAL,NAT,CZ,2019,48.4,
ESTAT:HLTH_EHIS_FV3C(1.0),08/11/22 23:00:00,A,PC,0,T,TOTAL,NAT,DE,2014,45.4,
ESTAT:HLTH_EHIS_FV3C(1.0),08/11/22 23:00:00,A,PC,0,T,TOTAL,NAT,DE,2019,33.3,
ESTAT:HLTH_EHIS_FV3C(1.0),08/11/22 23:00:00,A,PC,0,T,TOTAL,NAT,DK,2014,37.8,
ESTAT:HLTH_EHIS_FV3C(1.0),08/11/22 23:00:00,A,PC,0,T,TOTAL,NAT,DK,2019,39.1,
ESTAT:HLTH_EHIS_FV3C(1.0),08/11/22 23:00:00,A,PC,0,T,TOTAL,NAT,EE,2014,36.7,
ESTAT:HLTH_EHIS_FV3C(1.0),08/11/22 23:00:00,A,PC,0,T,TOTAL,NAT,EE,2019,40.9,
ESTAT:HLTH_EHIS_FV3C(1.0),08/11/22 23:00:00,A,PC,0,T,TOTAL,NAT,EL,2014,30.0,
ESTAT:HLTH_EHIS_FV3C(1.0),08/11/22 23:00:00,A,PC,0,T,TOTAL,NAT,EL,2019,33.0,
ESTAT:HLTH_EHIS_FV3C(1.0),08/11/22 23:00:00,A,PC,0,T,TOTAL,NAT,ES,2014,24.6,
ESTAT:HLTH_EHIS_FV3C(1.0),08/11/22 23:00:00,A,PC,0,T,TOTAL,NAT,ES,2019,22.9,
ESTAT:HLTH_EHIS_FV3C(1.0),08/11/22 23:00:00,A,PC,0,T,TOTAL,NAT,EU27_2020,2014,36.1,
ESTAT:HLTH_EHIS_FV3C(1.0),08/11/22 23:00:00,A,PC,0,T,TOTAL,NAT,EU27_2020,2019,33.2,
ESTAT:HLTH_EHIS_FV3C(1.0),08/11/22 23:00:00,A,PC,0,T,TOTAL,NAT,EU28,2014,34.4,
ESTAT:HLTH_EHIS_FV3C(1.0),08/11/22 23:00:00,A,PC,0,T,TOTAL,NAT,FI,2014,42.2,
ESTAT:HLTH_EHIS_FV3C(1.0),08/11/22 23:00:00,A,PC,0,T,TOTAL,NAT,FI,2019,37.4,
ESTAT:HLTH_EHIS_FV3C(1.0),08/11/22 23:00:00,A,PC,0,T,TOTAL,NAT,FR,2014,33.9,
ESTAT:HLTH_EHIS_FV3C(1.0),08/11/22 23:00:00,A,PC,0,T,TOTAL,NAT,FR,2019,25.6,
ESTAT:HLTH_EHIS_FV3C(1.0),08/11/22 23:00:00,A,PC,0,T,TOTAL,NAT,HR,2014,27.5,
ESTAT:HLTH_EHIS_FV3C(1.0),08/11/22 23:00:00,A,PC,0,T,TOTAL,NAT,HR,2019,28.5,
ESTAT:HLTH_EHIS_FV3C(1.0),08/11/22 23:00:00,A,PC,0,T,TOTAL,NAT,HU,2014,33.1,
ESTAT:HLTH_EHIS_FV3C(1.0),08/11/22 23:00:00,A,PC,0,T,TOTAL,NAT,HU,2019,36.3,
ESTAT:HLTH_EHIS_FV3C(1.0),08/11/22 23:00:00,A,PC,0,T,TOTAL,NAT,IE,2014,33.4,
