DATAFLOW,LAST UPDATE,freq,unit,physact,sex,age,citizen,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:HLTH_EHIS_PE9C(1.0),01/08/23 23:00:00,A,PC,MV_AERO_MSC,T,TOTAL,NAT,AT,2014,25.1,
ESTAT:HLTH_EHIS_PE9C(1.0),01/08/23 23:00:00,A,PC,MV_AERO_MSC,T,TOTAL,NAT,AT,2019,22.4,
ESTAT:HLTH_EHIS_PE9C(1.0),01/08/23 23:00:00,A,PC,MV_AERO_MSC,T,TOTAL,NAT,BE,2019,5.7,
ESTAT:HLTH_EHIS_PE9C(1.0),01/08/23 23:00:00,A,PC,MV_AERO_MSC,T,TOTAL,NAT,BG,2014,5.3,
ESTAT:HLTH_EHIS_PE9C(1.0),01/08/23 23:00:00,A,PC,MV_AERO_MSC,T,TOTAL,NAT,BG,2019,5.8,
ESTAT:HLTH_EHIS_PE9C(1.0),01/08/23 23:00:00,A,PC,MV_AERO_MSC,T,TOTAL,NAT,CY,2014,5.6,
ESTAT:HLTH_EHIS_PE9C(1.0),01/08/23 23:00:00,A,PC,MV_AERO_MSC,T,TOTAL,NAT,CY,2019,5.9,
ESTAT:HLTH_EHIS_PE9C(1.0),01/08/23 23:00:00,A,PC,MV_AERO_MSC,T,TOTAL,NAT,CZ,2014,8.2,
ESTAT:HLTH_EHIS_PE9C(1.0),01/08/23 23:00:00,A,PC,MV_AERO_MSC,T,TOTAL,NAT,CZ,2019,7.2,
ESTAT:HLTH_EHIS_PE9C(1.0),01/08/23 23:00:00,A,PC,MV_AERO_MSC,T,TOTAL,NAT,DE,2014,23.9,
ESTAT:HLTH_EHIS_PE9C(1.0),01/08/23 23:00:00,A,PC,MV_AERO_MSC,T,TOTAL,NAT,DE,2019,26.7,
ESTAT:HLTH_EHIS_PE9C(1.0),01/08/23 23:00:00,A,PC,MV_AERO_MSC,T,TOTAL,NAT,DK,2014,26.7,
ESTAT:HLTH_EHIS_PE9C(1.0),01/08/23 23:00:00,A,PC,MV_AERO_MSC,T,TOTAL,NAT,DK,2019,27.8,
ESTAT:HLTH_EHIS_PE9C(1.0),01/08/23 23:00:00,A,PC,MV_AERO_MSC,T,TOTAL,NAT,EE,2014,5.8,
ESTAT:HLTH_EHIS_PE9C(1.0),01/08/23 23:00:00,A,PC,MV_AERO_MSC,T,TOTAL,NAT,EE,2019,10.2,
