DATAFLOW,LAST UPDATE,freq,indic_de,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:DEMO_PJANIND(1.0),28/09/23 23:00:00,A,MEDAGEPOP,AL,2002,27.6,
ESTAT:DEMO_PJANIND(1.0),28/09/23 23:00:00,A,MEDAGEPOP,AL,2003,27.9,
ESTAT:DEMO_PJANIND(1.0),28/09/23 23:00:00,A,MEDAGEPOP,AL,2004,28.2,
ESTAT:DEMO_PJANIND(1.0),28/09/23 23:00:00,A,MEDAGEPOP,AL,2005,28.7,
ESTAT:DEMO_PJANIND(1.0),28/09/23 23:00:00,A,MEDAGEPOP,AL,2006,29.2,
ESTAT:DEMO_PJANIND(1.0),28/09/23 23:00:00,A,MEDAGEPOP,AL,2007,29.8,
ESTAT:DEMO_PJANIND(1.0),28/09/23 23:00:00,A,MEDAGEPOP,AL,2008,30.4,
ESTAT:DEMO_PJANIND(1.0),28/09/23 23:00:00,A,MEDAGEPOP,AL,2009,31.1,
ESTAT:DEMO_PJANIND(1.0),28/09/23 23:00:00,A,MEDAGEPOP,AL,2010,31.9,
ESTAT:DEMO_PJANIND(1.0),28/09/23 23:00:00,A,MEDAGEPOP,AL,2011,32.6,
ESTAT:DEMO_PJANIND(1.0),28/09/23 23:00:00,A,MEDAGEPOP,AL,2012,33.2,
ESTAT:DEMO_PJANIND(1.0),28/09/23 23:00:00,A,MEDAGEPOP,AL,2013,33.7,
ESTAT:DEMO_PJANIND(1.0),28/09/23 23:00:00,A,MEDAGEPOP,AL,2014,34.2,
ESTAT:DEMO_PJANIND(1.0),28/09/23 23:00:00,A,MEDAGEPOP,AL,2015,34.7,
ESTAT:DEMO_PJANIND(1.0),28/09/23 23:00:00,A,MEDAGEPOP,AL,2016,35.2,
ESTAT:DEMO_PJANIND(1.0),28/09/23 23:00:00,A,MEDAGEPOP,AL,2017,35.6,
ESTAT:DEMO_PJANIND(1.0),28/09/23 23:00:00,A,MEDAGEPOP,AL,2018,36.1,
ESTAT:DEMO_PJANIND(1.0),28/09/23 23:00:00,A,MEDAGEPOP,AL,2019,36.7,
ESTAT:DEMO_PJANIND(1.0),28/09/23 23:00:00,A,MEDAGEPOP,AL,2020,37.2,
ESTAT:DEMO_PJANIND(1.0),28/09/23 23:00:00,A,MEDAGEPOP,AL,2021,37.6,
ESTAT:DEMO_PJANIND(1.0),28/09/23 23:00:00,A,MEDAGEPOP,AL,2022,38.2,
ESTAT:DEMO_PJANIND(1.0),28/09/23 23:00:00,A,MEDAGEPOP,AT,1994,35.9,
ESTAT:DEMO_PJANIND(1.0),28/09/23 23:00:00,A,MEDAGEPOP,AT,1995,36.1,
ESTAT:DEMO_PJANIND(1.0),28/09/23 23:00:00,A,MEDAGEPOP,AT,1996,36.5,
ESTAT:DEMO_PJANIND(1.0),28/09/23 23:00:00,A,MEDAGEPOP,AT,1997,36.8,
ESTAT:DEMO_PJANIND(1.0),28/09/23 23:00:00,A,MEDAGEPOP,AT,1998,37.2,
ESTAT:DEMO_PJANIND(1.0),28/09/23 23:00:00,A,MEDAGEPOP,AT,1999,37.5,
ESTAT:DEMO_PJANIND(1.0),28/09/23 23:00:00,A,MEDAGEPOP,AT,2000,37.9,
ESTAT:DEMO_PJANIND(1.0),28/09/23 23:00:00,A,MEDAGEPOP,AT,2001,38.3,
ESTAT:DEMO_PJANIND(1.0),28/09/23 23:00:00,A,MEDAGEPOP,AT,2002,38.8,
ESTAT:DEMO_PJANIND(1.0),28/09/23 23:00:00,A,MEDAGEPOP,AT,2003,39.1,
ESTAT:DEMO_PJANIND(1.0),28/09/23 23:00:00,A,MEDAGEPOP,AT,2004,39.4,
ESTAT:DEMO_PJANIND(1.0),28/09/23 23:00:00,A,MEDAGEPOP,AT,2005,39.7,
ESTAT:DEMO_PJANIND(1.0),28/09/23 23:00:00,A,MEDAGEPOP,AT,2006,40.1,
ESTAT:DEMO_PJANIND(1.0),28/09/23 23:00:00,A,MEDAGEPOP,AT,2007,40.5,
ESTAT:DEMO_PJANIND(1.0),28/09/23 23:00:00,A,MEDAGEPOP,AT,2008,40.9,
ESTAT:DEMO_PJANIND(1.0),28/09/23 23:00:00,A,MEDAGEPOP,AT,2009,41.2,
ESTAT:DEMO_PJANIND(1.0),28/09/23 23:00:00,A,MEDAGEPOP,AT,2010,41.6,
ESTAT:DEMO_PJANIND(1.0),28/09/23 23:00:00,A,MEDAGEPOP,AT,2011,42.0,
ESTAT:DEMO_PJANIND(1.0),28/09/23 23:00:00,A,MEDAGEPOP,AT,2012,42.4,
ESTAT:DEMO_PJANIND(1.0),28/09/23 23:00:00,A,MEDAGEPOP,AT,2013,42.6,
ESTAT:DEMO_PJANIND(1.0),28/09/23 23:00:00,A,MEDAGEPOP,AT,2014,42.9,
ESTAT:DEMO_PJANIND(1.0),28/09/23 23:00:00,A,MEDAGEPOP,AT,2015,43.0,
ESTAT:DEMO_PJANIND(1.0),28/09/23 23:00:00,A,MEDAGEPOP,AT,2016,43.0,
