DATAFLOW,LAST UPDATE,freq,unit,smoking,sex,age,citizen,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:HLTH_EHIS_SK1C(1.0),08/11/22 23:00:00,A,PC,SM_DAY,T,TOTAL,NAT,AT,2014,22.4,
ESTAT:HLTH_EHIS_SK1C(1.0),08/11/22 23:00:00,A,PC,SM_DAY,T,TOTAL,NAT,AT,2019,19.1,
ESTAT:HLTH_EHIS_SK1C(1.0),08/11/22 23:00:00,A,PC,SM_DAY,T,TOTAL,NAT,BE,2014,18.7,u
ESTAT:HLTH_EHIS_SK1C(1.0),08/11/22 23:00:00,A,PC,SM_DAY,T,TOTAL,NAT,BE,2019,15.2,
ESTAT:HLTH_EHIS_SK1C(1.0),08/11/22 23:00:00,A,PC,SM_DAY,T,TOTAL,NAT,BG,2014,28.2,
ESTAT:HLTH_EHIS_SK1C(1.0),08/11/22 23:00:00,A,PC,SM_DAY,T,TOTAL,NAT,BG,2019,29.2,
ESTAT:HLTH_EHIS_SK1C(1.0),08/11/22 23:00:00,A,PC,SM_DAY,T,TOTAL,NAT,CY,2014,24.9,
ESTAT:HLTH_EHIS_SK1C(1.0),08/11/22 23:00:00,A,PC,SM_DAY,T,TOTAL,NAT,CY,2019,21.4,
ESTAT:HLTH_EHIS_SK1C(1.0),08/11/22 23:00:00,A,PC,SM_DAY,T,TOTAL,NAT,CZ,2014,21.3,
ESTAT:HLTH_EHIS_SK1C(1.0),08/11/22 23:00:00,A,PC,SM_DAY,T,TOTAL,NAT,CZ,2019,19.8,
ESTAT:HLTH_EHIS_SK1C(1.0),08/11/22 23:00:00,A,PC,SM_DAY,T,TOTAL,NAT,DE,2014,15.7,
ESTAT:HLTH_EHIS_SK1C(1.0),08/11/22 23:00:00,A,PC,SM_DAY,T,TOTAL,NAT,DE,2019,22.5,
ESTAT:HLTH_EHIS_SK1C(1.0),08/11/22 23:00:00,A,PC,SM_DAY,T,TOTAL,NAT,DK,2014,13.8,
ESTAT:HLTH_EHIS_SK1C(1.0),08/11/22 23:00:00,A,PC,SM_DAY,T,TOTAL,NAT,DK,2019,12.7,
ESTAT:HLTH_EHIS_SK1C(1.0),08/11/22 23:00:00,A,PC,SM_DAY,T,TOTAL,NAT,EE,2014,22.9,
ESTAT:HLTH_EHIS_SK1C(1.0),08/11/22 23:00:00,A,PC,SM_DAY,T,TOTAL,NAT,EE,2019,18.5,
ESTAT:HLTH_EHIS_SK1C(1.0),08/11/22 23:00:00,A,PC,SM_DAY,T,TOTAL,NAT,EL,2014,27.2,
ESTAT:HLTH_EHIS_SK1C(1.0),08/11/22 23:00:00,A,PC,SM_DAY,T,TOTAL,NAT,EL,2019,25.0,
ESTAT:HLTH_EHIS_SK1C(1.0),08/11/22 23:00:00,A,PC,SM_DAY,T,TOTAL,NAT,ES,2014,23.1,
